code_bcm,name,status
1313030,Ampary,introuvable
3110091,Ampasimadinika Manambolo,introuvable
3205150,Ampasimbe Manantsatrana,introuvable
3314050,Ampasimpotsy Gara,introuvable
3314292,Ampasimpotsy Mandialaza,introuvable
3205070,Ampasina Maningory,introuvable
1208002,Ampatana Mandriakeniheny,introuvable
7117232,Anaborano Ifasy,introuvable
5315112,Analampatsy,introuvable
4421050,Andabotoka Antsakoalamoty,introuvable
2223131,Andakatanikely,introuvable
5112111,Andamasiny Vineta,introuvable
7212010,Andapa CU,introuvable
3106090,Andevoranto,introuvable
3312250,Andilana Nord,introuvable
5410013,Andimaky Manambolo,introuvable
2203090,Andina Firaisana,introuvable
2120270,Andoharanomaitso,introuvable
3109050,Andonabe Atsimo,introuvable
2101004,Andrainjato Atsimo,introuvable
2101003,Andrainjato Avaratra,introuvable
2120011,Andrainjato Centre,introuvable
2120012,Andrainjato Est,introuvable
2309210,Andranambolava,introuvable
7211250,Andratamarina (Fir Antsiradrano),introuvable
1210150,Andravola Vohipeno A.,introuvable
3312152,Andrebakely I,introuvable
3312230,Andrebakely II,introuvable
4211130,Andriambavontsona,introuvable
2120630,Andriamizaha,introuvable
51212,ANDRODRONA,introuvable
1411190,Androtra Anosy,introuvable
4211230,Angoaka Sud,introuvable
2307290,Angodogondona,introuvable
3106050,Anivorano Atsinanana,introuvable
7113230,Anivorano Avaratra,introuvable
5218290,Anivorano Mitsinjo,introuvable
5218050,Anja Avaratra,introuvable
5214110,Anjapaly,introuvable
5216012,Anjeke-Ankilikira,introuvable
1102390,Anjeva Gara,introuvable
7117171,Anjiabe Ambony,introuvable
2120470,Anjoma Itsara,introuvable
2223050,Anjoma Nandihizana,introuvable
1209450,Anjoma Ramartina,introuvable
1102039,Ankadikely Ilafy,introuvable
3203031,Ankadimbazaha Anjanazana,introuvable
51204,ANKADIMBAZAHA-ANJANAZANA,introuvable
1411090,Ankadinondry Sakay,introuvable
4210430,Ankaramy,introuvable
2513350,Ankarana Miraihina,introuvable
5218030,Ankaranabo Avaratra,introuvable
1313150,Ankaranana Tiafandrosoana,introuvable
2120150,Ankarinarivo Manirisoa,introuvable
5105010,Ankazoabo Atsimo,introuvable
5106390,Ankazomanga Ouest,introuvable
1411110,Ankerana Avaratra,introuvable
4210370,Ankiabe-Salohy,introuvable
7212050,Ankiakabe Avaratra,introuvable
4210530,Ankiakabe-Fonoka,introuvable
5120170,Ankilimalinike,introuvable
3101005,Ankirihiry,introuvable
5120290,Ankoraobato Milenaky,introuvable
2120552,Ankoromalaza Mifanasoa,introuvable
