id,name,postal_code,commune_id/id
fokontany_1101005_005,Amboditsiry,101,commune_1101005
fokontany_1101005_006,Ambodivoanjo,101,commune_1101005
fokontany_1101005_007,Ambohidahy,101,commune_1101005
fokontany_1101005_008,Ambohimirary,101,commune_1101005
fokontany_1101005_009,Amboniloha,101,commune_1101005
fokontany_1101005_010,Ampanotokana,101,commune_1101005
fokontany_1101005_011,Analamahintsy cité,101,commune_1101005
fokontany_1101005_012,Analamahintsy Tanàna,101,commune_1101005
fokontany_1101005_013,Andraisoro,101,commune_1101005
fokontany_1101005_014,Androhibe,101,commune_1101005
fokontany_1101005_015,Anjanhary II A,101,commune_1101005
fokontany_1101005_016,Anjanahary II N,101,commune_1101005
fokontany_1101005_017,Anjanahary II O,101,commune_1101005
fokontany_1101005_018,Anjanahary II S,101,commune_1101005
fokontany_1101005_019,Ankadindramamy,101,commune_1101005
fokontany_1101005_020,Ivandry,101,commune_1101005
fokontany_1101005_021,Manjakaray II B,101,commune_1101005
fokontany_1101005_022,Manjakaray II C,101,commune_1101005
fokontany_1101005_023,Manjakaray II D,101,commune_1101005
fokontany_1101005_024,Morarano,101,commune_1101005
fokontany_1101005_025,Nanisana,101,commune_1101005
fokontany_1101005_026,Soavimasoandro,101,commune_1101005
fokontany_1101005_027,Tsarahonenana,101,commune_1101005
fokontany_1101006_001,Ambaravarankazo,101,commune_1101006
fokontany_1101006_002,Ambatolampy,101,commune_1101006
fokontany_1101006_003,Amboavahy,101,commune_1101006
fokontany_1101006_004,Ambodihady,101,commune_1101006
fokontany_1101006_005,Ambodimita,101,commune_1101006
fokontany_1101006_006,Ambodivona,101,commune_1101006
fokontany_1101006_007,Ambodivonkely,101,commune_1101006
fokontany_1101006_008,Ambohidroa,101,commune_1101006
fokontany_1101006_009,Ambohimanandray,101,commune_1101006
fokontany_1101006_010,Ambohimandroso,101,commune_1101006
fokontany_1101006_011,Ambohimiadana Atsimo,101,commune_1101006
fokontany_1101006_012,Ambohimiadana Avaratra,101,commune_1101006
fokontany_1101006_013,Ambohimitsinjo,101,commune_1101006
fokontany_1101006_014,Amorona,101,commune_1101006
fokontany_1101006_015,Ampandriambehivavy,101,commune_1101006
fokontany_1101006_016,Ampefiloha Ankeniheny,101,commune_1101006
fokontany_1101006_017,Andraharo,101,commune_1101006
fokontany_1101006_018,Andranomena,101,commune_1101006
fokontany_1101006_019,Anjanakimboro,101,commune_1101006
fokontany_1101006_020,Ankazomanga Atsimo,101,commune_1101006
fokontany_1101006_021,Anosisoa,101,commune_1101006
fokontany_1101006_022,Anosivavaka,101,commune_1101006
fokontany_1101006_023,Antanety Atsimo,101,commune_1101006
fokontany_1101006_024,Antanety Avaratra,101,commune_1101006
fokontany_1101006_025,Antanjombe Ambony,101,commune_1101006
fokontany_1101006_026,Antanjombe Avaratra,101,commune_1101006
fokontany_1101006_027,Antsararay,101,commune_1101006
fokontany_1101006_028,Avaratanana,101,commune_1101006
fokontany_1101006_029,Avaratetezana,101,commune_1101006
fokontany_1101006_030,Betafo,101,commune_1101006
fokontany_1101006_031,Anosibe Zaivola,101,commune_1101006
